,do,da,dz,recon_loss,act_mse,obs_mse
0,128,2,1,0.013149437494575977,0.9979309439659119,0.9920507669448853
1,128,2,2,0.00911532249301672,0.9932605624198914,0.9850543737411499
2,128,2,3,0.0017283604247495532,0.9813336730003357,0.9773349761962891
3,128,2,4,0.00041125682764686644,0.9802834391593933,0.9703269004821777
4,128,2,5,0.0001922543888213113,0.972183108329773,0.9623009562492371
5,128,2,6,5.655942368321121e-05,0.9735724925994873,0.9543567299842834
6,128,2,7,2.250692341476679e-05,0.9755586981773376,0.9466098546981812
7,128,2,8,0.00011258918675594032,0.9629188776016235,0.9382798671722412
8,128,2,9,1.3937754374637734e-05,0.9674342274665833,0.9313967227935791
9,128,2,10,5.3603962442139164e-05,0.964057981967926,0.9229964017868042
10,128,2,11,3.888401988660917e-05,0.9591887593269348,0.9156763553619385
11,128,2,12,0.00023938810045365244,0.9529789090156555,0.9072986841201782
12,128,2,13,0.00020551879424601793,0.950371265411377,0.9001163244247437
13,128,2,14,0.00020008452702313662,0.948276698589325,0.8926279544830322
14,128,2,15,8.898644591681659e-05,0.9486998319625854,0.8850362300872803
15,128,2,16,0.0002813618048094213,0.9415242671966553,0.8769041895866394
16,128,4,1,0.03133925423026085,1.0001424551010132,0.9918345212936401
17,128,4,2,0.02481108158826828,0.9946759939193726,0.9847692847251892
18,128,4,3,0.013992896303534508,0.9912986159324646,0.9769614338874817
19,128,4,4,0.004134150687605143,0.9821538925170898,0.9694235920906067
20,128,4,5,0.0024175425060093403,0.9807695150375366,0.9616900086402893
21,128,4,6,0.0002670630346983671,0.9735354781150818,0.954396665096283
22,128,4,7,7.232738425955176e-05,0.9709505438804626,0.9468988180160522
23,128,4,8,5.7831068261293694e-05,0.9649038910865784,0.9394364356994629
24,128,4,9,3.4847438655560836e-05,0.9618825912475586,0.9312634468078613
25,128,4,10,2.263094938825816e-05,0.965342104434967,0.9238226413726807
26,128,4,11,3.092437327723019e-05,0.9571072459220886,0.9166564345359802
27,128,4,12,7.609195745317265e-05,0.9565228819847107,0.9075981974601746
28,128,4,13,0.000145871308632195,0.9510265588760376,0.9010093808174133
29,128,4,14,0.00018179260951001197,0.9526347517967224,0.893091082572937
30,128,4,15,0.0002037447557086125,0.9452003240585327,0.8864849805831909
31,128,4,16,0.000284363777609542,0.941141664981842,0.8783659934997559
32,128,6,1,0.04657788574695587,1.0001331170399983,0.9924572110176086
33,128,6,2,0.03772638365626335,0.9975149631500244,0.9843229651451111
34,128,6,3,0.027658658102154732,0.9926048914591471,0.9776248335838318
35,128,6,4,0.023972894996404648,0.9925103982289633,0.9696809649467468
36,128,6,5,0.015567065216600895,0.9824364980061849,0.9617215394973755
37,128,6,6,0.004232416395097971,0.9741433461507162,0.9547106027603149
38,128,6,7,0.0016104597598314285,0.9726283550262451,0.9477779865264893
39,128,6,8,0.00014893357001710683,0.9702800114949545,0.9393557906150818
40,128,6,9,4.621549669536762e-05,0.966411272684733,0.932587206363678
41,128,6,10,4.940318103763275e-05,0.9675318400065104,0.9249829649925232
42,128,6,11,3.332838605274446e-05,0.9653405348459879,0.9170578122138977
43,128,6,12,9.376304660690948e-05,0.9574798742930094,0.9098004102706909
44,128,6,13,0.00013290111382957548,0.9570668538411459,0.9024866223335266
45,128,6,14,2.7761232558987103e-05,0.9517267545064291,0.8941663503646851
46,128,6,15,4.092865492566489e-05,0.9519961675008138,0.8861889243125916
47,128,6,16,5.488154783961363e-05,0.9496912161509196,0.8791705965995789
48,128,8,1,0.06020456925034523,0.9983766674995422,0.9921990633010864
49,128,8,2,0.051793865859508514,0.999002993106842,0.9848565459251404
50,128,8,3,0.04440050944685936,0.9957666993141174,0.9770874977111816
51,128,8,4,0.036472633481025696,0.9909104108810425,0.9699931144714355
52,128,8,5,0.025953568518161774,0.9842014312744141,0.9622711539268494
53,128,8,6,0.01775325834751129,0.9777942299842834,0.954355001449585
54,128,8,7,0.014917363412678242,0.9785057902336121,0.9475940465927124
55,128,8,8,0.0024053596425801516,0.9732944369316101,0.9397775530815125
56,128,8,9,0.00013227935414761305,0.970730185508728,0.931972324848175
57,128,8,10,9.958171722246334e-05,0.9654638767242432,0.9252479672431946
58,128,8,11,0.00010988208669004962,0.963785707950592,0.9172785878181458
59,128,8,12,7.673546497244388e-05,0.9577314257621765,0.9097838997840881
60,128,8,13,1.5093038200575393e-05,0.9567962288856506,0.9027223587036133
61,128,8,14,2.2442762201535515e-05,0.9564272165298462,0.8948016166687012
62,128,8,15,0.0002849615993909538,0.9505059123039246,0.8871217966079712
63,128,8,16,2.5712231945362873e-05,0.9507595300674438,0.8793517351150513
64,128,10,1,0.07453858107328415,0.9985894203186035,0.9920459985733032
65,128,10,2,0.06721947342157364,0.9957026481628418,0.9840589165687561
66,128,10,3,0.05880481004714966,0.9931295394897461,0.9777492880821228
67,128,10,4,0.0500008687376976,0.9912623405456543,0.9699862599372864
68,128,10,5,0.043029140681028366,0.987945556640625,0.9624189138412476
69,128,10,6,0.03532842546701431,0.9824485778808594,0.9550942778587341
70,128,10,7,0.02610602229833603,0.9838273048400878,0.9473548531532288
71,128,10,8,0.016812751069664955,0.9765158653259277,0.9391768574714661
72,128,10,9,0.008427908644080162,0.9689412117004395,0.933478593826294
73,128,10,10,0.0009307855507358909,0.9649444580078125,0.9253311157226562
74,128,10,11,7.580450619570911e-05,0.9624899864196778,0.9178309440612793
75,128,10,12,2.6363484721514396e-05,0.9620485305786133,0.9103468656539917
76,128,10,13,1.9571401935536414e-05,0.9598541259765625,0.9031268954277039
77,128,10,14,7.352804095717147e-05,0.9561302185058593,0.8951324820518494
78,128,10,15,3.5845983802573755e-05,0.9530526161193847,0.8881725072860718
79,128,10,16,4.82902250951156e-05,0.9469698905944824,0.8811152577400208
80,128,12,1,0.08992665261030197,0.9972090721130371,0.9931144714355469
81,128,12,2,0.08233632892370224,0.9972046216328939,0.9849292039871216
82,128,12,3,0.07768043130636215,0.9967383543650309,0.9770592451095581
83,128,12,4,0.06615488976240158,0.9938926696777344,0.969531774520874
84,128,12,5,0.05784337967634201,0.9898762702941895,0.9622917771339417
85,128,12,6,0.04891055077314377,0.9854393005371094,0.9552816152572632
86,128,12,7,0.040751613676548004,0.9833712577819824,0.9474249482154846
87,128,12,8,0.03304396569728851,0.9818228085835775,0.940024197101593
88,128,12,9,0.024693459272384644,0.9775880177815756,0.9324082732200623
89,128,12,10,0.016425875946879387,0.9726807276407877,0.9250229597091675
90,128,12,11,0.008317693136632442,0.9643734296162924,0.9185932278633118
91,128,12,12,0.00014509919856209308,0.9614684581756592,0.9107015132904053
92,128,12,13,4.539349538390525e-05,0.9567821025848389,0.9034902453422546
93,128,12,14,7.744648610241711e-05,0.9573008219401041,0.8959270119667053
94,128,12,15,0.00014008501602802426,0.95205291112264,0.888887345790863
95,128,12,16,5.494030119734816e-05,0.952545960744222,0.8807514905929565
96,128,14,1,0.1069682389497757,1.0001072202410017,0.9929872155189514
97,128,14,2,0.09769094735383987,0.9982186044965472,0.9847643971443176
98,128,14,3,0.08973170071840286,0.9972169058663505,0.9768798351287842
99,128,14,4,0.08308730274438858,0.9928838184901646,0.969758927822113
100,128,14,5,0.07371503114700317,0.9912270818437848,0.9626720547676086
101,128,14,6,0.06601961702108383,0.9882071358816964,0.9544692039489746
102,128,14,7,0.056973494589328766,0.985865592956543,0.9476120471954346
103,128,14,8,0.04946581646800041,0.9835130146571568,0.9396570324897766
104,128,14,9,0.04069032520055771,0.9791957310267857,0.9325487613677979
105,128,14,10,0.032667603343725204,0.97632782799857,0.9253578186035156
106,128,14,11,0.024464953690767288,0.9723580224173409,0.9187067747116089
107,128,14,12,0.016339579597115517,0.9640293121337891,0.9108464121818542
108,128,14,13,0.008517049252986908,0.9625205312456403,0.9034624099731445
109,128,14,14,0.00018790588364936411,0.9563610894339425,0.896364152431488
110,128,14,15,0.00019649036403279752,0.9529074941362653,0.88950514793396
111,128,14,16,0.0001837835879996419,0.9535469327654157,0.882271409034729
112,128,16,1,0.12350312620401382,1.0020567178726196,0.9931356310844421
113,128,16,2,0.1147267296910286,0.9990100860595703,0.9845065474510193
114,128,16,3,0.10748005658388138,0.997832179069519,0.9768618941307068
115,128,16,4,0.09816163778305054,0.9946475028991699,0.968869149684906
116,128,16,5,0.08973636478185654,0.9909491539001465,0.9615576267242432
117,128,16,6,0.08123187720775604,0.9901846051216125,0.9547909498214722
118,128,16,7,0.0737762451171875,0.9886096715927124,0.9474826455116272
119,128,16,8,0.06489144265651703,0.9829156398773193,0.9399688839912415
120,128,16,9,0.056366365402936935,0.9811702370643616,0.932396650314331
121,128,16,10,0.0485713854432106,0.9777659177780151,0.925809383392334
122,128,16,11,0.04028899967670441,0.9747189283370972,0.91811203956604
123,128,16,12,0.03260721266269684,0.9697601795196533,0.911255955696106
124,128,16,13,0.024451132863759995,0.9666032791137695,0.9043207764625549
125,128,16,14,0.016440602019429207,0.9624632596969604,0.8962985277175903
126,128,16,15,0.008295539766550064,0.9608011841773987,0.8900408744812012
127,128,16,16,0.00017772940918803215,0.9546948671340942,0.8823966383934021
